Respondent_Serial,ID,ReturnCode,IDType,USHOU1,MRK_SMPGRP,MRK_SMPSRC,IISPanelistID,DP_INCOME,DP_GENAGE,DP_EDUCATION_BAN,DP_HISPANIC_BAN,DP_USHHI2_der,usedu3_der,usmar2_der,EMP01_der,USRACE4_der,USRETH3_der,HADD_ZipCode_US,HCAL_REGION1_US,HCAL_REGION1_Label_abbreviation_US,HCAL_REGION1_Label_US,HCAL_Region3_US,HCAL_Region3_Label_US,HCAL_Region2_US,HCAL_Region2_Label_US,HCAL_AGGLO_CODE_US,HCAL_AGGLO_CODE_Label_US,HCAL_MktSize_US,HCAL_MktSize_Label_US,HCAL_STDMKTSIZE_US,HCAL_STDMKTSIZE_Label_US,HCAL_STDREGION_4CODES_US,HCAL_STDREGION_4CODES_Label_US,HCAL_STDREGION_US,HCAL_STDREGION_Label_US,TimeZone_US,Time_Zone_Label_US,NielsenCountySizeCode_US,QMktSize_1_1,QMktSize_2_1,QMktSize_3_1,QMktSize_4_1,QMktSize_5_1,QMktSize_6_1,QMktSize_7_1,QMktSize_8_1,QMktSize_9_1,QMktSize_10_1,QMktSize_11_1,QMktSize_12_1,QMktSize_13_1,QMktSize_14_1,QMktSize_15_1,QMktSize_16_1,QMktSize_17_1,QMktSize_18_1,QMktSize_19_1,QMktSize_20_1,QMktSize_21_1,QMktSize_22_1,QMktSize_23_1,QMktSize_24_1,QMktSize_25_1,QMktSize_26_1,QMktSize_27_1,QMktSize_28_1,QMktSize_29_1,QMktSize_30_1,QMktSize_31_1,QMktSize_32_1,QMktSize_33_1,QMktSize_34_1,QMktSize_35_1,QMktSize_36_1,QMktSize_37_1,QMktSize_38_1,QMktSize_39_1,QMktSize_40_1,QMktSize_41_1,QMktSize_42_1,QMktSize_43_1,QMktSize_44_1,QMktSize_45_1,QMktSize_46_1,QMktSize_47_1,QMktSize_48_1,QMktSize_49_1,QMktSize_50_1,QMktSize_51_1,QMktSize_52_1,QMktSize_53_1,QMktSize_54_1,QMktSize_55_1,QMktSize_56_1,QMktSize_57_1,QMktSize_58_1,QMktSize_59_1,QMktSize_60_1,QMktSize_61_1,QMktSize_62_1,QMktSize_63_1,QMktSize_64_1,QMktSize_65_1,QMktSize_66_1,QMktSize_67_1,QMktSize_68_1,QMktSize_69_1,QMktSize_70_1,QMktSize_71_1,QMktSize_72_1,QMktSize_73_1,QMktSize_74_1,QMktSize_75_1,QMktSize_76_1,QMktSize_77_1,QMktSize_78_1,QMktSize_79_1,QMktSize_80_1,QMktSize_81_1,QMktSize_82_1,QMktSize_83_1,QMktSize_84_1,QMktSize_85_1,QMktSize_86_1,QMktSize_87_1,QMktSize_88_1,QMktSize_89_1,QMktSize_90_1,QMktSize_91_1,QMktSize_92_1,QMktSize_93_1,QMktSize_94_1,QMktSize_95_1,QMktSize_96_1,QMktSize_97_1,QMktSize_98_1,QMktSize_99_1,ZIP_3DIGIT,ZIP_5DIGIT,State_Recoded,USHHI2,DMA,DP_ETHNICITY_BAN,Weightvar,resp_gender,resp_age,resp_age_long,REGION4,US09KID,US09KAB01,US09KAB02,US09KAB03,US09KAB04,US09KAB05,US09KAB06,US09KAB07,US09KAB08,US09KAB09,US09KAB10,US09KAB11,US09KAB12,US09KAB13,US09KAB14,US09KAB15,US09KAB16,US09KAB17,US09KAB18,US09KAB19,US09KAG01,US09KAG02,US09KAG03,US09KAG04,US09KAG05,US09KAG06,US09KAG07,US09KAG08,US09KAG09,US09KAG10,US09KAG11,US09KAG12,US09KAG13,US09KAG14,US09KAG15,US09KAG16,US09KAG17,US09KAG18,US09KAG19,USMAR2,STATE,US09KAB_AG_merged01,US09KAB_AG_merged02,US09KAB_AG_merged03,US09KAB_AG_merged04,US09KAB_AG_merged05,US09KAB_AG_merged06,US09KAB_AG_merged07,US09KAB_AG_merged08,US09KAB_AG_merged09,US09KAB_AG_merged10,US09KAB_AG_merged11,US09KAB_AG_merged12,US09KAB_AG_merged13,US09KAB_AG_merged14,US09KAB_AG_merged15,US09KAB_AG_merged16,US09KAB_AG_merged17,US09KAB_AG_merged18,US09KAB_AG_merged19,Age_pres,GENAGE_der,MRK_STATUS_DYN,MRK_START_TIME_DYN,MRK_END_TIME_DYN,MRK_DIFF_TIME_DYN,QUOTA_DYN,QUOTA_CAN_GENDER_DYN,QUOTA_CAN_AGERANGE_DYN,QUOTA_CAN_REGION_DYN,QUOTA_ROT_DYN1,QUOTA_ROT_DYN2,DYN101,DYN102,DYN103,DYN104,DYN105,DYN106,DYN107,DYN108,DYN109,DYN110,DYN111,DYN112,DYN113,GRID_DYN2_1_DYN2,GRID_DYN2_2_DYN2,GRID_DYN2_3_DYN2,GRID_DYN2_4_DYN2,GRID_DYN2_5_DYN2,GRID_DYN2_6_DYN2,GRID_DYN2_7_DYN2,GRID_DYN2_8_DYN2,GRID_DYN2_9_DYN2,GRID_DYN2_10_DYN2,GRID_DYN2_11_DYN2,GRID_DYN2_12_DYN2,SPLIT_ORDER_DYN2_1_DYN2_ORDER,SPLIT_ORDER_DYN2_2_DYN2_ORDER,SPLIT_ORDER_DYN2_3_DYN2_ORDER,SPLIT_ORDER_DYN2_4_DYN2_ORDER,SPLIT_ORDER_DYN2_5_DYN2_ORDER,SPLIT_ORDER_DYN2_6_DYN2_ORDER,SPLIT_ORDER_DYN2_7_DYN2_ORDER,SPLIT_ORDER_DYN2_8_DYN2_ORDER,SPLIT_ORDER_DYN2_9_DYN2_ORDER,SPLIT_ORDER_DYN2_10_DYN2_ORDER,SPLIT_ORDER_DYN2_11_DYN2_ORDER,SPLIT_ORDER_DYN2_12_DYN2_ORDER,DYN3,MARK_START_TIME_DYN,MARK_END_TIME_DYN,MARK_DIFF_TIME_DYN,Section_Version_DYN,Wavemarker,RACE_wgt,CurrentMonth,CurrentYear,KIDS01,USRACE41,USRACE42,USRACE43,USRACE44,USRACE45,USRACE46,USRACE47,COUNTRY10,INDHH1001,INDHH1002,INDHH1003,INDHH1004,INDHH1005,INDHH1006,INDHH1007,INDHH1008,INDHH1009,INDHH1010,INDHH1011,INDHH1012,INDHH1013,INDHH1014,INDHH1015,INDHH1016,INDHH1017,INDHH1018,INDHH1019,INDHH1020,INDHH1021,INDHH1022,INDHH1023,INDHH1024,INDHH1025,INDHH1026,INDHH1027,INDHH1028,INDHH1029,INDHH1030,INDHH1031,INDHH1032,INDHH1033,INDHH1034,INDHH1035,INDHH1036,USEDU3,USRETH3,PGS01,EMP01,DKIDS01_1_DKIDS01_Gender,DKIDS01_2_DKIDS01_Gender,DKIDS01_3_DKIDS01_Gender,DKIDS01_4_DKIDS01_Gender,DKIDS01_5_DKIDS01_Gender,DKIDS01_6_DKIDS01_Gender,DKIDS01_7_DKIDS01_Gender,DKIDS01_8_DKIDS01_Gender,DKIDS01_9_DKIDS01_Gender,DKIDS01_10_DKIDS01_Gender,DKIDS01_11_DKIDS01_Gender,DKIDS01_12_DKIDS01_Gender,DKIDS01_1_DKIDS01_YoB,DKIDS01_2_DKIDS01_YoB,DKIDS01_3_DKIDS01_YoB,DKIDS01_4_DKIDS01_YoB,DKIDS01_5_DKIDS01_YoB,DKIDS01_6_DKIDS01_YoB,DKIDS01_7_DKIDS01_YoB,DKIDS01_8_DKIDS01_YoB,DKIDS01_9_DKIDS01_YoB,DKIDS01_10_DKIDS01_YoB,DKIDS01_11_DKIDS01_YoB,DKIDS01_12_DKIDS01_YoB,DKIDS01_1_DKIDS01_MoB,DKIDS01_2_DKIDS01_MoB,DKIDS01_3_DKIDS01_MoB,DKIDS01_4_DKIDS01_MoB,DKIDS01_5_DKIDS01_MoB,DKIDS01_6_DKIDS01_MoB,DKIDS01_7_DKIDS01_MoB,DKIDS01_8_DKIDS01_MoB,DKIDS01_9_DKIDS01_MoB,DKIDS01_10_DKIDS01_MoB,DKIDS01_11_DKIDS01_MoB,DKIDS01_12_DKIDS01_MoB,DKIDS01_1_DKIDS01_Rel,DKIDS01_2_DKIDS01_Rel,DKIDS01_3_DKIDS01_Rel,DKIDS01_4_DKIDS01_Rel,DKIDS01_5_DKIDS01_Rel,DKIDS01_6_DKIDS01_Rel,DKIDS01_7_DKIDS01_Rel,DKIDS01_8_DKIDS01_Rel,DKIDS01_9_DKIDS01_Rel,DKIDS01_10_DKIDS01_Rel,DKIDS01_11_DKIDS01_Rel,DKIDS01_12_DKIDS01_Rel
13,1035214017,9,1,1,1,2,,3,4,6,2,7,6,3,1,1,2,73703,40,37,Oklahoma,40047,GARFIELD,650,"Oklahoma City, OK",21420,"Enid, OK",1,"10,000-99,999",4,Non metro,3,South,7,West South Central,6,Central (GMT -06:00),4,,,,,,,650,,,,,,,,,,,,,,,,73703,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737,73703,37,12,650,1,0.5895897517511313,2,32,32,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,,,,1,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,4,5,2,4,3,2,2,5,2,2,1,1,1,2,2,1,1,1,2,2,4,13703644079,13703644289,210,3,0,1,1,2017,1,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,1,1,1.0,,,,,,,,,,,,2011.0,,,,,,,,,,,,10.0,,,,,,,,,,,,1.0,,,,,,,,,,,
15,1143047381,9,1,1,1,2,,5,4,3,2,9,3,1,1,1,2,91202,6,5,California,06037,LOS ANGELES,803,"Los Angeles, CA",31080,"Los Angeles-Long Beach-Anaheim, CA",7,"5,000,000 +",3,5M+,4,West,9,Pacific,8,Pacific (GMT -08:00),1,,,,,,,803,,,,,,,,,,,,,,,,91202,,,,,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,91202,5,19,803,1,1.1882641381173842,2,24,24,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,,,,1,,,,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,13703640057,13703640159,102,3,0,1,1,2017,2,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,1,1.0,2.0,,,,,,,,,,,2014.0,2012.0,,,,,,,,,,,1.0,9.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,
18,C1461636059,9,1,3,1,3,,2,6,6,2,4,6,1,4,2,2,29210,45,41,South Carolina,45079,RICHLAND,546,"Columbia, SC",17900,"Columbia, SC",4,"500,000-999,999",1,<1M,3,South,5,South Atlantic,5,Eastern (GMT -05:00),2,,,,,,,546,,,,,,,,,,,,,,,,29210,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,29210,42,6,546,2,2.042054304438091,2,62,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,1,,,,1,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4,5,5,3,4,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,13703639636,13703639824,188,3,0,2,1,2017,0,0,1,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,C1461636326,9,1,1,1,3,,2,5,5,2,5,5,5,1,1,2,34952,12,10,Florida,12111,SAINT LUCIE,548,"West Palm Beach-Ft. Pierce, FL",38940,"Port St. Lucie, FL",3,"250,000-499,999",1,<1M,3,South,5,South Atlantic,5,Eastern (GMT -05:00),2,,,,,,,548,,,,,,,,,,,,,,,,34952,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,34952,10,7,548,1,0.6059253653370473,2,50,50,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,1,,,,1,,,,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,5,5,5,5,3,3,3,3,3,3,4,2,2,2,1,1,1,1,1,2,2,1,2,6,13703639632,13703639864,232,3,0,1,1,2017,1,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,1,1,1.0,,,,,,,,,,,,2001.0,,,,,,,,,,,,7.0,,,,,,,,,,,,1.0,,,,,,,,,,,
21,1148320559,9,1,3,1,2,,2,5,5,1,5,5,3,1,4,1,65738,29,26,Missouri,29077,GREENE,619,"Springfield, MO",44180,"Springfield, MO",3,"250,000-499,999",1,<1M,2,Midwest,4,West North Central,6,Central (GMT -06:00),2,,,,,,,619,,,,,,,,,,,,,,,,65738,,,,,,,,Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,65738,26,8,619,3,1.662686245747668,2,35,35,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,6,5,1,,,,1,,,,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,4,4,4,5,3,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,1,2,2,1,4,13703640660,13703640779,119,3,0,5,1,2017,3,0,0,0,0,0,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,1,1.0,1.0,1.0,,,,,,,,,,1999.0,2001.0,2004.0,,,,,,,,,,6.0,6.0,7.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
25,1082738919,9,1,3,1,2,,1,6,4,2,1,4,5,5,1,2,01540,25,22,Massachusetts,25027,WORCESTER,506,"Boston (Manchester), MA-NH",49340,"Worcester, MA-CT",4,"500,000-999,999",1,<1M,1,Northeast,1,New England,5,Eastern (GMT -05:00),2,,,,,,,506,,,,,,,,,,,,,,,,01540,,,,,,,,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1540,22,3,506,1,0.6735472374701308,2,55,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,1,,,,1,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,2,2,3,2,2,2,3,1,1,2,2,2,2,1,1,1,2,2,1,2,13703639794,13703639884,90,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1148179102,9,1,1,1,2,,3,4,7,2,7,7,1,1,1,2,77339,48,44,Texas,48201,HARRIS,618,"Houston, TX",26420,"Houston-The Woodlands-Sugar Land, TX",7,"5,000,000 +",3,5M+,3,South,7,West South Central,6,Central (GMT -06:00),1,,,,,,,618,,,,,,,,,,,,,,,,77339,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,77339,44,11,618,1,0.5895897517511313,2,33,33,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,1,,,,1,,,,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,3,4,5,5,4,2,3,2,2,2,3,2,1,2,1,1,2,1,1,2,1,2,2,2,4,13703640460,13703644557,4097,3,0,1,1,2017,1,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,1,2.0,,,,,,,,,,,,2004.0,,,,,,,,,,,,11.0,,,,,,,,,,,,1.0,,,,,,,,,,,
29,1102928261,9,1,1,1,2,,2,1,6,1,5,6,3,3,1,1,54603,55,50,Wisconsin,55063,LA CROSSE,702,"La Crosse-Eau Claire, WI",29100,"La Crosse-Onalaska, WI-MN",2,"100,000-249,999",1,<1M,2,Midwest,3,East North Central,6,Central (GMT -06:00),3,,,,,,,702,,,,,,,,,,,,,,,,54603,,,,,,,,Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546,54603,50,8,702,1,1.8584619038052725,1,33,33,2,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,,,,1,,,,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,3,5,5,3,4,3,2,2,2,2,4,1,1,2,1,2,2,2,1,1,2,2,1,7,13703640426,13703640764,338,3,0,5,1,2017,4,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,3,1.0,2.0,1.0,1.0,,,,,,,,,2009.0,2010.0,2012.0,2014.0,,,,,,,,,3.0,5.0,7.0,7.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
33,C1461636661,9,1,3,1,3,,1,4,6,2,2,6,1,2,1,2,55406,27,24,Minnesota,27053,HENNEPIN,613,"Minneapolis-St. Paul, MN",33460,"Minneapolis-St. Paul-Bloomington, MN-WI",6,"2,500,000-4,999,999",2,1M-4.9M,2,Midwest,4,West North Central,6,Central (GMT -06:00),1,,,,,,,613,,,,,,,,,,,,,,,,55406,,,,,,,,Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554,55406,24,4,613,1,0.61105504292622,2,31,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,1,,,,1,,,,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,3,5,6,6,4,3,2,4,3,6,6,2,1,2,1,2,1,2,1,1,2,2,1,3,13703640676,13703640861,185,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1147920565,9,1,1,1,2,,1,5,3,2,1,3,1,7,2,2,48238,26,23,Michigan,26163,WAYNE,505,"Detroit, MI",19820,"Detroit-Warren-Dearborn, MI",6,"2,500,000-4,999,999",2,1M-4.9M,2,Midwest,3,East North Central,5,Eastern (GMT -05:00),1,,,,,,,505,,,,,,,,,,,,,,,,48238,,,,,,,,Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,48238,23,1,505,2,1.9453600548219083,2,51,51,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1,,,,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,6,6,6,6,6,6,4,6,1,2,1,2,1,2,2,2,1,1,1,2,3,13703639845,13703639960,115,3,0,2,1,2017,2,0,1,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,6,2.0,2.0,,,,,,,,,,,1999.0,2005.0,,,,,,,,,,,4.0,10.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,
